YEAR,TOP_NA_GENRE,TOP_EU_GENRE,TOP_REGION_GENRE,TOP_OTHER_GENRE
1980,Shooter,Shooter,No_Genre,Shooter
1981,Action,Action,No_Genre,Action
1982,Puzzle,Puzzle,No_Genre,Puzzle
1983,Platform,Platform,Platform,Platform
1984,Shooter,Shooter,Sports,Shooter
1985,Platform,Platform,Platform,Platform
1986,Action,Action,Platform,Role-Playing
1987,Fighting,Fighting,Role-Playing,Fighting
1988,Platform,Platform,Role-Playing,Platform
1989,Puzzle,Puzzle,Puzzle,Puzzle
1990,Platform,Platform,Role-Playing,Platform
1991,Platform,Platform,Role-Playing,Platform
1992,Platform,Adventure,Role-Playing,Platform
1993,Platform,Platform,Fighting,Platform
1994,Platform,Platform,Platform,Platform
1995,Platform,Platform,Role-Playing,Fighting
1996,Racing,Role-Playing,Role-Playing,Action
1997,Sports,Racing,Role-Playing,Role-Playing
1998,Sports,Action,Role-Playing,Action
1999,Racing,Role-Playing,Role-Playing,Role-Playing
2000,Sports,Action,Role-Playing,Sports
2001,Action,Action,Role-Playing,Sports
2002,Action,Action,Role-Playing,Action
2003,Action,Action,Role-Playing,Action
2004,Action,Role-Playing,Role-Playing,Action
2005,Action,Action,Role-Playing,Action
2006,Sports,Sports,Role-Playing,Sports
2007,Action,Sports,Role-Playing,Action
2008,Action,Action,Role-Playing,Action
2009,Action,Sports,Role-Playing,Action
2010,Action,Action,Role-Playing,Action
2011,Action,Action,Role-Playing,Action
2012,Action,Action,Role-Playing,Action
2013,Action,Action,Role-Playing,Action
2014,Action,Action,Role-Playing,Action
2015,Shooter,Action,Action,Shooter
2016,Shooter,Shooter,Action,Shooter
2017,No_Genre,No_Genre,Role-Playing,No_Genre
2020,Simulation,No_Genre,No_Genre,Simulation
